0.19,0.33,0.02,0.918367347,0.12,0.17,0.34,0.47,0.29,0.32,0.2,1,0.37,0.782608696,0.425,0.64516129,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.27,0.27,0.36,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.764044944,0.239583333,0.41,0.25,0.52,0.68,0.4,0.824175824,0.773195876,0.35,0.597826087,0.648351648,0.64893617,0.674698795,0.813186813,0.835164835,0.04,0.14,0.03,0.24,0.28125,0.415730337,0.475609756,0.07,0.07,0.08,0.08,0.908163265,0.06,0.14,0.13,0.33,0.39,0.28,0.617977528,0.09,0.51,0.5,0.21,0.755319149,0.619047619,0.05,0.282608696,0.722222222,0.14,0.06,0.22,0.19,0.18,0.367346939,0.35,0.38,0.34,0.38,0.5,0.25,0.04,0,0.12,0.461538462,0.568181818,0.548387097,0.711111111,0.03,0.13,0.96,0.17,0.06,0.18,0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.12,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,1
0.15,0.31,0.4,0.642857143,0.14,0.06,0.58,0.72,0.65,0.47,0.16,1,0.22,0.565217391,0.125,0.548387097,0.48,0.39,0.51,0.3,0.29,0.34,0.23,0.13,0.2,0.2,0.3,0.15,0.48,0.3,0.38,0.47,0.37,0.494382022,0.083333333,0.73,0.21,0.53,0.5,0.94,0.494505495,0.505154639,0.36,0.217391304,0.274725275,0.265957447,0.228915663,0.67032967,0.714285714,0.13,0.73,0.05,0.39,0.40625,0.516853933,0.56097561,0.21,0.19,0.2,0.18,0.826530612,0.08,0.22,0.13,0.21,0.33,0.22,0.269662921,0.1,0.6,0,0.22,0.680851064,0.261904762,0.79,0.652173913,0,0.4,0.26,0.23,0.23,0.23,0.316326531,0.32,0.36,0.33,0.52,0.380434783,0.4,0.23,0.02,0.23,0.879120879,0.465909091,0.569892473,0.888888889,0.06,0.3,0.93,0.38,0.05,0.21,0.23,0.3,0.61,0.89,0.15,0.01,0.06,0.12,0.1,0.64,0.22,0.06,0.39,0.84,0.06,0.06,0.91,0.5,0.88,0.26,1
0.25,0.54,0.05,0.724489796,0.48,0.3,0.42,0.48,0.28,0.32,0.26,1,0.33,0.597826087,0.4625,0.397849462,0.39,0.64,0.44,0.32,0.29,0.32,0.23,0.17,0.17,0.24,0.3,0.19,0.34,0.34,0.43,0.24,0.59,0.483146067,0.395833333,0.41,0.43,0.36,0.6,0.35,0.747252747,0.690721649,0.6,0.652173913,0.67032967,0.680851064,0.734939759,0.32967033,0.32967033,0.08,0.22,0.14,0.31,0.46875,0.640449438,0.780487805,0.28,0.36,0.41,0.42,0.653061224,0.35,0.43,0.39,0.56,0.54,0.6,0.528089888,0.39,0.48,0.5,0.15,0.882978723,0.583333333,0.09,0.173913043,0.811111111,0.14,0.28,0.31,0.31,0.31,0.408163265,0.4,0.45,0.4,0.65,0.641304348,0.21,0.12,0.09,0.38,0.637362637,0.352272727,0.516129032,0.811111111,0.03,0.08,0.96,0.12,0.05,0.11,0.35,0.08,0.8,0.82,0.04,0.19,0.19,0.18,0.05,0.57,0.36,0.09,0.46,0.05,0.09,0.05,0.88,0.5,0.76,0.13,1
1,0.42,0.47,0.602040816,0.12,0.05,0.41,0.53,0.34,0.33,1,0.99,0.28,0.673913043,0.2,0.387096774,0.4,0.3,0.45,0.29,0.3,0.35,0.21,0.2,0.33,0.28,0.4,0.76,0.33,0.25,0.39,0.28,0.3,0.662921348,0.1875,0.33,0.35,0.38,0.69,0.41,0.78021978,0.75257732,0.47,0.576086957,0.56043956,0.627659574,0.614457831,0.604395604,0.615384615,0.49,0.35,0.16,0.27,0.354166667,0.449438202,0.524390244,0.07,0.07,0.08,0.08,0.918367347,0.04,0.23,0.2,0.42,0.46,0.4,0.617977528,0.2,0.49,0.5,1,0.638297872,0.642857143,0.52,0.47826087,0.7,0.37,0.23,0.11,0.11,0.13,0.255102041,0.28,0.32,0.3,0.45,0.445652174,0.32,0.39,0.36,0.1,0.483516484,0.511363636,0.64516129,0.533333333,0.25,0.16,0.75,0.19,0.35,0.19,0.38,0.16,0.82,0.7,0.45,0.03,0.05,0.33,0.13,0.57,1,1,0.07,0.15,1,0.35,0.73,0,0.31,0.21,1
0.11,0.43,0.04,0.908163265,0.09,0.06,0.45,0.48,0.31,0.46,0.13,1,0.22,0.565217391,0.55,0.52688172,0.56,0.41,0.39,0.25,0.25,0.25,0.16,0.07,0.2,0.19,0.22,0.1,0.36,0.29,0.37,0.27,0.33,0.595505618,0.447916667,0.47,0.44,0.33,0.48,0.39,0.527472527,0.515463918,0.49,0.641304348,0.67032967,0.542553191,0.795180723,0.747252747,0.78021978,0.05,0.26,0.02,0.49,0.614583333,0.696629213,0.780487805,0.11,0.11,0.11,0.1,0.93877551,0.09,0.27,0.24,0.43,0.48,0.35,0.719101124,0.12,0.56,0,0.09,0.85106383,0.726190476,0.45,0.467391304,0.211111111,0.34,0.25,0.05,0.04,0.05,0.142857143,0.17,0.18,0.17,0.44,0.217391304,0.43,0.05,0.01,0.09,0.791208791,0.659090909,0.774193548,0.711111111,0.01,0.11,0.98,0.14,0.03,0.14,0.37,0.11,0.84,0.96,0,0,0,0,0.02,0.86,0.29,0.16,0.12,0.07,0.04,0.01,0.81,1,0.56,0.09,1
0.09,0.43,0.51,0.591836735,0.04,0.01,0.58,0.56,0.5,0.52,0.1,1,0.2,0.456521739,0.2625,0.47311828,0.65,0.36,0.52,0.24,0.26,0.31,0.19,0.22,0.14,0.26,0.26,0.09,0.43,0.47,0.53,0.34,0.36,0.426966292,0.458333333,0.63,0.43,0.42,0.48,0.53,0.549450549,0.536082474,0.39,0.445652174,0.461538462,0.468085106,0.578313253,0.626373626,0.681318681,0.07,0.48,0.01,0.72,0.78125,0.752808989,0.743902439,0.08,0.08,0.06,0.05,0.979591837,0.02,0.18,0.16,0.34,0.38,0.32,0.561797753,0.08,0.51,0.5,0.11,0.734042553,0.583333333,0.33,0.554347826,0.488888889,0.42,0.17,0.08,0.09,0.11,0.12244898,0.18,0.21,0.19,0.4,0.195652174,0.35,0.03,0,0.04,0.791208791,0.636363636,0.602150538,0.666666667,0.02,0.19,0.97,0.23,0.03,0.17,0.29,0.19,0.61,0.85,0.24,0,0,0.17,0.03,0.5,0.1,0.14,0.11,0.19,0.05,0.01,0.75,0,0.6,0.1,1
0.19,0.3,0.19,0.857142857,0.03,0.01,0.36,0.46,0.3,0.56,0.2,1,0.19,0.47826087,0.2375,0.494623656,0.6,0.35,0.5,0.23,0.25,0.26,0.2,0.13,0.31,0.25,0.35,0.16,0.38,0.38,0.48,0.22,0.45,0.483146067,0.479166667,0.43,0.53,0.31,0.69,0.37,0.736263736,0.731958763,0.36,0.510869565,0.538461538,0.521276596,0.542168675,0.703296703,0.725274725,0.09,0.32,0.01,0.44,0.4375,0.617977528,0.609756098,0.03,0.02,0.03,0.02,0.979591837,0.04,0.14,0.12,0.29,0.35,0.24,0.595505618,0.09,0.67,0,0.28,0.670212766,0.595238095,0.37,0.608695652,0.3,0.4,0.13,0.06,0.06,0.06,0.163265306,0.17,0.19,0.18,0.46,0.260869565,0.37,0.05,0.01,0.02,0.78021978,0.659090909,0.838709677,0.833333333,0.04,0.17,0.95,0.2,0.04,0.13,0.25,0.17,0.86,0.93,0.1,0,0,0.07,0.03,0.5,0.78,0.12,0.26,0.09,0.09,0.02,0.74,0,0.34,0.07,1
0.06,0.31,0.17,0.857142857,0.04,0.03,0.4,0.48,0.29,0.43,0.07,1,0.24,0.510869565,0.2375,0.451612903,0.52,0.38,0.7,0.27,0.26,0.25,0.3,0.16,0.33,0.34,0.26,0.07,0.43,0.32,0.45,0.19,0.54,0.460674157,0.8125,0.31,0.6,0.28,0.73,0.32,0.835164835,0.804123711,0.39,0.47826087,0.516483516,0.425531915,0.542168675,0.538461538,0.527472527,0.03,0.23,0,0.13,0.135416667,0.157303371,0.268292683,0.01,0.01,0.01,0.02,0.969387755,0.04,0.16,0.14,0.33,0.35,0.32,0.629213483,0.08,0.56,0,0.09,0.712765957,0.654761905,0.4,0.597826087,0.344444444,0.46,0.17,0.06,0.05,0.05,0.173469388,0.19,0.19,0.2,0.48,0.086956522,0.36,0.04,0,0.04,0.857142857,0.659090909,0.860215054,0.9,0.01,0.2,0.98,0.25,0.02,0.2,0.31,0.2,0.9,0.87,0.13,0.03,0,0.11,0.03,0.29,0.16,0.04,0.26,0.01,0.03,0.01,0.84,0.5,0.82,0.11,1
0.35,0.62,0.14,0.571428571,0.32,0.48,0.52,0.6,0.42,0.26,0.36,1,0.38,0.717391304,0.275,0.408602151,0.32,0.42,0.46,0.39,0.31,0.36,0.31,0.21,0.28,0.24,0.3,0.24,0.31,0.3,0.38,0.3,0.44,0.573033708,0.385416667,0.45,0.42,0.4,0.51,0.54,0.67032967,0.608247423,0.68,0.641304348,0.626373626,0.734042553,0.722891566,0.417582418,0.406593407,0.14,0.32,0.23,0.39,0.5,0.595505618,0.719512195,0.42,0.46,0.46,0.47,0.581632653,0.38,0.58,0.53,0.64,0.67,0.59,0.528089888,0.5,0.51,0.5,0.25,0.819148936,0.547619048,0.19,0.22826087,0.7,0.22,0.19,0.32,0.33,0.32,0.489795918,0.47,0.55,0.47,0.68,0.673913043,0.17,0.1,0.03,0.46,0.527472527,0.397727273,0.494623656,0.766666667,0.2,0.39,0.85,0.33,0.03,0.05,0.02,0.39,0.87,0.61,0.2,0.38,0.27,0.41,0.07,0.57,0.38,0.22,0.24,0.09,0.41,0.28,0.19,0.5,0.22,0.51,1
0.16,0.44,0.05,0.775510204,0.53,0.21,0.37,0.49,0.3,0.29,0.18,1,0.5,0.760869565,0.2625,0.559139785,0.29,0.31,0.45,0.49,0.43,0.44,0.39,0.25,0.33,0.33,0.44,0.07,0.16,0.12,0.18,0.42,0.25,0.775280899,0.208333333,0.32,0.26,0.47,0.57,0.45,0.758241758,0.680412371,0.47,0.673913043,0.714285714,0.755319149,0.65060241,0.56043956,0.659340659,0.03,0.13,0.11,0.46,0.5625,0.696629213,0.768292683,0.45,0.47,0.49,0.45,0.704081633,0.2,0.26,0.24,0.47,0.47,0.49,0.573033708,0.24,0.46,0.5,0.09,0.914893617,0.630952381,0.05,0.141304348,0.644444444,0.08,0.05,0.51,0.51,0.52,0.663265306,0.6,0.7,0.6,0.65,0.706521739,0.19,0.03,0.01,0.42,0.538461538,0.477272727,0.580645161,0.688888889,0.02,0.11,0.97,0.14,0.04,0.15,0.41,0.11,0.76,0.91,0.02,0.07,0.26,0.09,0.03,0.64,0.34,0.08,0.32,0.56,0.07,0.03,0.79,1,0.57,0.13,1
